time,sensor,temperature
1:19:33 PM,T_SURF7HS_3,34.8
1:19:33 PM,T_SURF6HS_3,34.8
1:19:33 PM,T_SURF5HS_3,35
1:19:33 PM,T_SURF4HS_3,35
1:19:33 PM,T_SURF3HS_3,35.5
1:19:33 PM,T_SURF2HS_3,34.3
1:19:33 PM,T_SURF1HS_3,32.4
1:19:33 PM,T_SURF7HS_2,34.8
1:19:33 PM,T_SURF6HS_2,34.3
1:19:33 PM,T_SURF5HS_2,34.3
1:19:33 PM,T_SURF4HS_2,34.8
1:19:33 PM,T_SURF3HS_2,35.7
1:19:33 PM,T_SURF2HS_2,34.8
1:19:33 PM,T_SURF1HS_2,35.2
1:19:33 PM,T_SURF6HS_1,50.7
1:19:33 PM,T_SURF5HS_1,52.1
1:19:33 PM,T_SURF4HS_1,51.7
1:19:33 PM,T_SURF3HS_1,52.6
1:19:33 PM,T_SURF2HS_1,47.4
1:19:33 PM,T_SURF1HS_1,51.4
1:19:33 PM,T_SURF6HS_0,51.4
1:19:33 PM,T_SURF5HS_0,51.4
1:19:33 PM,T_SURF4HS_0,51.7
1:19:33 PM,T_SURF3HS_0,51.4
1:19:33 PM,T_SURF2HS_0,50.5
1:19:33 PM,T_SURF1HS_0,50.2
1:19:47 PM,T_SURF7HS_3,35
1:19:47 PM,T_SURF6HS_3,35.5
1:19:47 PM,T_SURF5HS_3,35.5
1:19:47 PM,T_SURF4HS_3,35.7
1:19:47 PM,T_SURF3HS_3,36
1:19:47 PM,T_SURF2HS_3,35.2
1:19:47 PM,T_SURF1HS_3,32.4
1:19:47 PM,T_SURF7HS_2,35
1:19:47 PM,T_SURF6HS_2,34.5
1:19:47 PM,T_SURF5HS_2,34.5
1:19:47 PM,T_SURF4HS_2,35.2
1:19:47 PM,T_SURF3HS_2,36.2
1:19:47 PM,T_SURF2HS_2,35.2
1:19:47 PM,T_SURF1HS_2,35.2
1:19:47 PM,T_SURF6HS_1,51
1:19:47 PM,T_SURF5HS_1,52.1
1:19:47 PM,T_SURF4HS_1,51.7
1:19:47 PM,T_SURF3HS_1,52.9
1:19:47 PM,T_SURF2HS_1,47.4
1:19:47 PM,T_SURF1HS_1,51.7
1:19:47 PM,T_SURF6HS_0,51.7
1:19:47 PM,T_SURF5HS_0,51.9
1:19:47 PM,T_SURF4HS_0,52.1
1:19:47 PM,T_SURF3HS_0,51.4
1:19:47 PM,T_SURF2HS_0,50.5
1:19:47 PM,T_SURF1HS_0,50.7
1:20:00 PM,T_SURF7HS_3,35.7
1:20:00 PM,T_SURF6HS_3,35.5
1:20:00 PM,T_SURF5HS_3,35.5
1:20:00 PM,T_SURF4HS_3,36
1:20:00 PM,T_SURF3HS_3,36.2
1:20:00 PM,T_SURF2HS_3,35.2
1:20:00 PM,T_SURF1HS_3,32.1
1:20:00 PM,T_SURF7HS_2,35
1:20:00 PM,T_SURF6HS_2,35.2
1:20:00 PM,T_SURF5HS_2,35.2
1:20:00 PM,T_SURF4HS_2,35
1:20:00 PM,T_SURF3HS_2,36.4
1:20:00 PM,T_SURF2HS_2,35.7
1:20:00 PM,T_SURF1HS_2,36
1:20:00 PM,T_SURF6HS_1,51.2
1:20:00 PM,T_SURF5HS_1,52.1
1:20:00 PM,T_SURF4HS_1,51.9
1:20:00 PM,T_SURF3HS_1,53.1
1:20:00 PM,T_SURF2HS_1,47.4
1:20:00 PM,T_SURF1HS_1,51.4
1:20:00 PM,T_SURF6HS_0,51.7
1:20:00 PM,T_SURF5HS_0,51.9
1:20:00 PM,T_SURF4HS_0,52.1
1:20:00 PM,T_SURF3HS_0,51.4
1:20:00 PM,T_SURF2HS_0,50.5
1:20:00 PM,T_SURF1HS_0,50.7
1:20:13 PM,T_SURF7HS_3,35.5
1:20:13 PM,T_SURF6HS_3,35.7
1:20:13 PM,T_SURF5HS_3,36
1:20:13 PM,T_SURF4HS_3,36
1:20:13 PM,T_SURF3HS_3,36.2
1:20:13 PM,T_SURF2HS_3,35.5
1:20:13 PM,T_SURF1HS_3,31.9
1:20:13 PM,T_SURF7HS_2,35.5
1:20:13 PM,T_SURF6HS_2,35.2
1:20:13 PM,T_SURF5HS_2,35.2
1:20:13 PM,T_SURF4HS_2,35.7
1:20:13 PM,T_SURF3HS_2,36.7
1:20:13 PM,T_SURF2HS_2,35.7
1:20:13 PM,T_SURF1HS_2,36.2
1:20:13 PM,T_SURF6HS_1,51
1:20:13 PM,T_SURF5HS_1,52.1
1:20:13 PM,T_SURF4HS_1,52.1
1:20:13 PM,T_SURF3HS_1,52.9
1:20:13 PM,T_SURF2HS_1,47.9
1:20:13 PM,T_SURF1HS_1,51.7
