time,sensor,temperature
1:19:33 PM,T_APU_SURF_28,40.2
1:19:33 PM,T_APU_SURF_5,41.8
1:19:33 PM,T_APU_SURF_7,40.7
1:19:33 PM,T_APU_SURF_26,41.1
1:19:33 PM,T_APU_SURF_31,42.9
1:19:33 PM,T_APU_SURF_21,40.6
1:19:33 PM,T_APU_SURF_10,40.6
1:19:33 PM,T_APU_SURF_20,41.6
1:19:33 PM,T_APU_SURF_29,41.8
1:19:33 PM,T_APU_SURF_13,41.8
1:19:33 PM,T_APU_SURF_25,40.2
1:19:33 PM,T_APU_SURF_32,42
1:19:33 PM,T_APU_SURF_24,60.1
1:19:33 PM,T_APU_SURF_33,60.4
1:19:33 PM,T_APU_SURF_11,61.4
1:19:33 PM,T_APU_SURF_30,56.2
1:19:33 PM,T_APU_SURF_8,55.3
1:19:33 PM,T_APU_SURF_9,56.6
1:19:33 PM,T_APU_SURF_15,58.9
1:19:33 PM,T_APU_SURF_16,57.2
1:19:33 PM,T_APU_SURF_12,43
1:19:33 PM,T_APU_SURF_22,59.5
1:19:33 PM,T_APU_SURF_27,54.5
1:19:33 PM,T_APU_SURF_19,60.9
1:19:47 PM,T_APU_SURF_28,40.3
1:19:47 PM,T_APU_SURF_5,41.8
1:19:47 PM,T_APU_SURF_7,40.1
1:19:47 PM,T_APU_SURF_26,41.5
1:19:47 PM,T_APU_SURF_31,41.5
1:19:47 PM,T_APU_SURF_21,40.6
1:19:47 PM,T_APU_SURF_10,40.9
1:19:47 PM,T_APU_SURF_20,40.4
1:19:47 PM,T_APU_SURF_29,42
1:19:47 PM,T_APU_SURF_13,43.1
1:19:47 PM,T_APU_SURF_25,42
1:19:47 PM,T_APU_SURF_32,41.9
1:19:47 PM,T_APU_SURF_24,59.7
1:19:47 PM,T_APU_SURF_33,59.9
1:19:47 PM,T_APU_SURF_11,61.3
1:19:47 PM,T_APU_SURF_30,56.5
1:19:47 PM,T_APU_SURF_8,56.2
1:19:47 PM,T_APU_SURF_9,56.9
1:19:47 PM,T_APU_SURF_15,59.3
1:19:47 PM,T_APU_SURF_16,58.2
1:19:47 PM,T_APU_SURF_12,41.6
1:19:47 PM,T_APU_SURF_22,60.9
1:19:47 PM,T_APU_SURF_27,53.6
1:19:47 PM,T_APU_SURF_19,59.7
1:20:00 PM,T_APU_SURF_28,42.2
1:20:00 PM,T_APU_SURF_5,41.3
1:20:00 PM,T_APU_SURF_7,40.3
1:20:00 PM,T_APU_SURF_26,40.9
1:20:00 PM,T_APU_SURF_31,42.4
1:20:00 PM,T_APU_SURF_21,41.6
1:20:00 PM,T_APU_SURF_10,42.5
1:20:00 PM,T_APU_SURF_20,40.8
1:20:00 PM,T_APU_SURF_29,41.7
1:20:00 PM,T_APU_SURF_13,42.7
1:20:00 PM,T_APU_SURF_25,41
1:20:00 PM,T_APU_SURF_32,42.6
1:20:00 PM,T_APU_SURF_24,59.5
1:20:00 PM,T_APU_SURF_33,58.4
1:20:00 PM,T_APU_SURF_11,61.5
1:20:00 PM,T_APU_SURF_30,56.9
1:20:00 PM,T_APU_SURF_8,56.4
1:20:00 PM,T_APU_SURF_9,57.1
1:20:00 PM,T_APU_SURF_15,59.4
1:20:00 PM,T_APU_SURF_16,57.4
1:20:00 PM,T_APU_SURF_12,44
1:20:00 PM,T_APU_SURF_22,61.6
1:20:00 PM,T_APU_SURF_27,54.5
1:20:00 PM,T_APU_SURF_19,60.3
1:20:13 PM,T_APU_SURF_7,40.9
1:20:13 PM,T_APU_SURF_26,40.5
1:20:13 PM,T_APU_SURF_31,42.8
1:20:13 PM,T_APU_SURF_21,42.2
1:20:13 PM,T_APU_SURF_10,41.9
1:20:13 PM,T_APU_SURF_20,40.6
1:20:13 PM,T_APU_SURF_29,42.8
1:20:13 PM,T_APU_SURF_13,43.1
1:20:13 PM,T_APU_SURF_25,42.2
1:20:13 PM,T_APU_SURF_32,42.5
1:20:13 PM,T_APU_SURF_24,59
1:20:13 PM,T_APU_SURF_33,60.8
1:20:13 PM,T_APU_SURF_11,60.5
1:20:13 PM,T_APU_SURF_30,55.4
1:20:13 PM,T_APU_SURF_8,55.8
1:20:13 PM,T_APU_SURF_9,56.3
1:20:13 PM,T_APU_SURF_15,59.5
1:20:13 PM,T_APU_SURF_16,59.2
1:20:13 PM,T_APU_SURF_12,45.4
1:20:13 PM,T_APU_SURF_22,61.1
1:20:13 PM,T_APU_SURF_27,53.2
1:20:13 PM,T_APU_SURF_19,60.8
1:20:14 PM,T_APU_SURF_28,41.7
1:20:14 PM,T_APU_SURF_5,41.2
1:20:27 PM,T_APU_SURF_28,42.5
1:20:27 PM,T_APU_SURF_5,41.2
1:20:27 PM,T_APU_SURF_7,42.1
1:20:27 PM,T_APU_SURF_26,40.7
1:20:27 PM,T_APU_SURF_31,42.5
1:20:27 PM,T_APU_SURF_21,42.1
1:20:27 PM,T_APU_SURF_10,42.9
1:20:27 PM,T_APU_SURF_20,43.1
1:20:27 PM,T_APU_SURF_29,42.7
1:20:27 PM,T_APU_SURF_13,44.1
1:20:27 PM,T_APU_SURF_25,41.5
1:20:27 PM,T_APU_SURF_32,43
1:20:27 PM,T_APU_SURF_24,58.4
1:20:27 PM,T_APU_SURF_33,60.8
1:20:27 PM,T_APU_SURF_11,60.5
1:20:27 PM,T_APU_SURF_30,55.7
1:20:27 PM,T_APU_SURF_8,55.3
1:20:27 PM,T_APU_SURF_9,58.6
1:20:27 PM,T_APU_SURF_15,58.3
1:20:27 PM,T_APU_SURF_16,58.8
1:20:27 PM,T_APU_SURF_12,43.6
1:20:27 PM,T_APU_SURF_22,60.1
1:20:27 PM,T_APU_SURF_27,52.7
1:20:27 PM,T_APU_SURF_19,61
1:20:40 PM,T_APU_SURF_28,41.5
1:20:40 PM,T_APU_SURF_5,42.3
1:20:40 PM,T_APU_SURF_7,42.5
1:20:40 PM,T_APU_SURF_26,41.2
1:20:40 PM,T_APU_SURF_31,43.5
1:20:40 PM,T_APU_SURF_21,41.9
1:20:40 PM,T_APU_SURF_10,43.3
1:20:40 PM,T_APU_SURF_20,42.8
1:20:40 PM,T_APU_SURF_29,43
1:20:40 PM,T_APU_SURF_13,44.1
1:20:40 PM,T_APU_SURF_25,41.9
1:20:40 PM,T_APU_SURF_32,42.9
1:20:40 PM,T_APU_SURF_24,57.6
1:20:40 PM,T_APU_SURF_33,60.2
1:20:40 PM,T_APU_SURF_11,60.9
1:20:40 PM,T_APU_SURF_30,57.2
1:20:40 PM,T_APU_SURF_8,57.3
1:20:40 PM,T_APU_SURF_9,56.8
1:20:40 PM,T_APU_SURF_15,59.5
1:20:40 PM,T_APU_SURF_16,57.7
1:20:40 PM,T_APU_SURF_12,43.9
1:20:40 PM,T_APU_SURF_22,61.7
1:20:40 PM,T_APU_SURF_27,52.7
1:20:40 PM,T_APU_SURF_19,60.4
1:20:53 PM,T_APU_SURF_11,62.8
1:20:53 PM,T_APU_SURF_30,57
1:20:53 PM,T_APU_SURF_8,57.4
1:20:53 PM,T_APU_SURF_9,56.9
1:20:53 PM,T_APU_SURF_15,59.4
1:20:53 PM,T_APU_SURF_16,58.5
1:20:53 PM,T_APU_SURF_12,43
1:20:53 PM,T_APU_SURF_22,62.6
1:20:53 PM,T_APU_SURF_27,52.6
1:20:53 PM,T_APU_SURF_19,60.1
1:20:54 PM,T_APU_SURF_28,42.1
1:20:54 PM,T_APU_SURF_5,42.2
1:20:54 PM,T_APU_SURF_7,42
1:20:54 PM,T_APU_SURF_26,43.6
1:20:54 PM,T_APU_SURF_31,43.7
1:20:54 PM,T_APU_SURF_21,42.7
1:20:54 PM,T_APU_SURF_10,44.3
1:20:54 PM,T_APU_SURF_20,41.2
1:20:54 PM,T_APU_SURF_29,44.1
1:20:54 PM,T_APU_SURF_13,45
1:20:54 PM,T_APU_SURF_25,42.1
1:20:54 PM,T_APU_SURF_32,42.6
1:20:54 PM,T_APU_SURF_24,59
1:20:54 PM,T_APU_SURF_33,60.8
1:21:07 PM,T_APU_SURF_28,42.7
1:21:07 PM,T_APU_SURF_5,41.8
1:21:07 PM,T_APU_SURF_7,42
1:21:07 PM,T_APU_SURF_26,43.1
1:21:07 PM,T_APU_SURF_31,44.4
1:21:07 PM,T_APU_SURF_21,43.5
1:21:07 PM,T_APU_SURF_10,42.9
1:21:07 PM,T_APU_SURF_20,42.2
1:21:07 PM,T_APU_SURF_29,42.8
1:21:07 PM,T_APU_SURF_13,44.1
1:21:07 PM,T_APU_SURF_25,42.1
1:21:07 PM,T_APU_SURF_32,43.9
1:21:07 PM,T_APU_SURF_24,58.5
1:21:07 PM,T_APU_SURF_33,59.2
1:21:07 PM,T_APU_SURF_11,61.9
1:21:07 PM,T_APU_SURF_30,57.1
1:21:07 PM,T_APU_SURF_8,57.5
1:21:07 PM,T_APU_SURF_9,57.5
1:21:07 PM,T_APU_SURF_15,60.7
1:21:07 PM,T_APU_SURF_16,58.1
1:21:07 PM,T_APU_SURF_12,45
1:21:07 PM,T_APU_SURF_22,61.1
1:21:07 PM,T_APU_SURF_27,53.5
1:21:07 PM,T_APU_SURF_19,60.8
1:21:20 PM,T_APU_SURF_28,42.5
1:21:20 PM,T_APU_SURF_5,43.3
1:21:20 PM,T_APU_SURF_7,42
1:21:20 PM,T_APU_SURF_26,42.8
1:21:20 PM,T_APU_SURF_31,45.1
1:21:20 PM,T_APU_SURF_21,43.8
1:21:20 PM,T_APU_SURF_10,44.6
1:21:20 PM,T_APU_SURF_20,42.7
1:21:20 PM,T_APU_SURF_29,44.5
1:21:20 PM,T_APU_SURF_13,45.6
1:21:20 PM,T_APU_SURF_25,42.3
1:21:20 PM,T_APU_SURF_32,43.3
1:21:20 PM,T_APU_SURF_24,57.9
1:21:20 PM,T_APU_SURF_33,60.7
1:21:20 PM,T_APU_SURF_11,61
1:21:20 PM,T_APU_SURF_30,56.9
1:21:20 PM,T_APU_SURF_8,55.7
1:21:20 PM,T_APU_SURF_9,57.1
1:21:20 PM,T_APU_SURF_15,58.8
1:21:20 PM,T_APU_SURF_16,58.7
1:21:20 PM,T_APU_SURF_12,45.7
1:21:20 PM,T_APU_SURF_22,62.5
1:21:20 PM,T_APU_SURF_27,54.3
1:21:20 PM,T_APU_SURF_19,61.1
1:21:34 PM,T_APU_SURF_28,44
1:21:34 PM,T_APU_SURF_5,42.5
1:21:34 PM,T_APU_SURF_7,42.1
1:21:34 PM,T_APU_SURF_26,43.5
1:21:34 PM,T_APU_SURF_31,44.9
1:21:34 PM,T_APU_SURF_21,44.6
1:21:34 PM,T_APU_SURF_10,43.9
1:21:34 PM,T_APU_SURF_20,44.1
1:21:34 PM,T_APU_SURF_29,44.3
1:21:34 PM,T_APU_SURF_13,44.4
1:21:34 PM,T_APU_SURF_25,42.4
1:21:34 PM,T_APU_SURF_32,44.5
1:21:34 PM,T_APU_SURF_24,59
1:21:34 PM,T_APU_SURF_33,60.6
1:21:34 PM,T_APU_SURF_11,61.4
1:21:34 PM,T_APU_SURF_30,57.6
1:21:34 PM,T_APU_SURF_8,56
1:21:34 PM,T_APU_SURF_9,57.1
1:21:34 PM,T_APU_SURF_15,61.1
1:21:34 PM,T_APU_SURF_16,59.6
1:21:34 PM,T_APU_SURF_12,45.5
1:21:34 PM,T_APU_SURF_22,62.4
1:21:34 PM,T_APU_SURF_27,53.3
1:21:34 PM,T_APU_SURF_19,62.4
1:21:47 PM,T_APU_SURF_28,43.4
1:21:47 PM,T_APU_SURF_5,42.9
1:21:47 PM,T_APU_SURF_7,42
1:21:47 PM,T_APU_SURF_26,43.1
1:21:47 PM,T_APU_SURF_31,45.3
1:21:47 PM,T_APU_SURF_21,43.3
1:21:47 PM,T_APU_SURF_10,44.4
1:21:47 PM,T_APU_SURF_20,43.4
1:21:47 PM,T_APU_SURF_29,44.7
1:21:47 PM,T_APU_SURF_13,44.3
1:21:47 PM,T_APU_SURF_25,44.4
1:21:47 PM,T_APU_SURF_32,42.4
1:21:47 PM,T_APU_SURF_24,59.4
1:21:47 PM,T_APU_SURF_33,59.6
1:21:47 PM,T_APU_SURF_11,63.4
1:21:47 PM,T_APU_SURF_30,58
1:21:47 PM,T_APU_SURF_8,57.4
1:21:47 PM,T_APU_SURF_9,58.4
1:21:47 PM,T_APU_SURF_15,59.9
1:21:47 PM,T_APU_SURF_16,58
1:21:47 PM,T_APU_SURF_12,44.2
1:21:47 PM,T_APU_SURF_22,61
1:21:47 PM,T_APU_SURF_27,52.5
1:21:47 PM,T_APU_SURF_19,62.8
1:22:00 PM,T_APU_SURF_28,43.8
1:22:00 PM,T_APU_SURF_5,43.1
1:22:00 PM,T_APU_SURF_7,43.2
1:22:00 PM,T_APU_SURF_26,43.1
1:22:00 PM,T_APU_SURF_31,45.4
1:22:00 PM,T_APU_SURF_21,42.9
1:22:00 PM,T_APU_SURF_10,44.8
1:22:00 PM,T_APU_SURF_20,42.4
1:22:00 PM,T_APU_SURF_29,44.8
1:22:00 PM,T_APU_SURF_13,45
1:22:00 PM,T_APU_SURF_25,43
1:22:00 PM,T_APU_SURF_32,42.8
1:22:00 PM,T_APU_SURF_24,59.6
1:22:00 PM,T_APU_SURF_33,60.6
1:22:00 PM,T_APU_SURF_11,61.2
1:22:00 PM,T_APU_SURF_30,57.3
1:22:00 PM,T_APU_SURF_8,57.4
1:22:00 PM,T_APU_SURF_9,57.6
1:22:00 PM,T_APU_SURF_15,58.9
1:22:00 PM,T_APU_SURF_16,59.5
1:22:00 PM,T_APU_SURF_12,44.4
