time,sensor,temperature
1:19:33 PM,T_TURFIO_3,47.2
1:19:33 PM,T_TURFIO_2,48.6
1:19:33 PM,T_TURFIO_1,60.9
1:19:33 PM,T_TURFIO_0,59.2
1:19:33 PM,T_RPU_TURF,53.9
1:19:33 PM,T_APU_TURF,53
1:19:47 PM,T_TURFIO_3,47.2
1:19:47 PM,T_TURFIO_2,48.6
1:19:47 PM,T_TURFIO_1,60.7
1:19:47 PM,T_TURFIO_0,59.3
1:19:47 PM,T_RPU_TURF,53.9
1:19:47 PM,T_APU_TURF,53.1
1:20:00 PM,T_TURFIO_3,47.9
1:20:00 PM,T_TURFIO_2,49.2
1:20:00 PM,T_TURFIO_1,60.8
1:20:00 PM,T_TURFIO_0,60.4
1:20:00 PM,T_RPU_TURF,53.4
1:20:00 PM,T_APU_TURF,53.3
1:20:13 PM,T_TURFIO_3,47.7
1:20:13 PM,T_TURFIO_2,49.3
1:20:13 PM,T_TURFIO_1,61.2
1:20:13 PM,T_TURFIO_0,59.4
1:20:13 PM,T_RPU_TURF,55.2
1:20:13 PM,T_APU_TURF,53.1
1:20:27 PM,T_TURFIO_3,48.2
1:20:27 PM,T_TURFIO_2,49.7
1:20:27 PM,T_TURFIO_1,60.7
1:20:27 PM,T_TURFIO_0,60.5
1:20:27 PM,T_RPU_TURF,53.6
1:20:27 PM,T_APU_TURF,51.7
1:20:40 PM,T_TURFIO_3,47.6
1:20:40 PM,T_TURFIO_2,50.2
1:20:40 PM,T_TURFIO_1,61.6
1:20:40 PM,T_TURFIO_0,59.7
1:20:40 PM,T_RPU_TURF,54.2
1:20:40 PM,T_APU_TURF,52.9
1:20:53 PM,T_TURFIO_3,48.1
1:20:53 PM,T_TURFIO_2,49.6
1:20:53 PM,T_TURFIO_1,61.4
1:20:53 PM,T_TURFIO_0,59.2
1:20:53 PM,T_RPU_TURF,55.5
1:20:53 PM,T_APU_TURF,54.5
1:21:07 PM,T_TURFIO_3,47.6
1:21:07 PM,T_TURFIO_2,50.3
1:21:07 PM,T_TURFIO_1,61
1:21:07 PM,T_TURFIO_0,59.7
1:21:07 PM,T_RPU_TURF,54.3
1:21:07 PM,T_APU_TURF,53.2
1:21:20 PM,T_TURFIO_3,48.4
1:21:20 PM,T_TURFIO_2,50.4
1:21:20 PM,T_TURFIO_1,60.8
1:21:20 PM,T_TURFIO_0,60.3
1:21:20 PM,T_RPU_TURF,53.9
1:21:20 PM,T_APU_TURF,53.4
1:21:33 PM,T_TURFIO_2,49.7
1:21:33 PM,T_TURFIO_1,61.4
1:21:33 PM,T_TURFIO_0,60.3
1:21:33 PM,T_RPU_TURF,55.2
1:21:33 PM,T_APU_TURF,54.9
1:21:34 PM,T_TURFIO_3,48.5
1:21:47 PM,T_TURFIO_3,48.8
1:21:47 PM,T_TURFIO_2,49.7
1:21:47 PM,T_TURFIO_1,62.5
1:21:47 PM,T_TURFIO_0,60.3
1:21:47 PM,T_RPU_TURF,55.2
1:21:47 PM,T_APU_TURF,55
1:22:00 PM,T_TURFIO_3,48.7
1:22:00 PM,T_TURFIO_2,50.1
1:22:00 PM,T_TURFIO_1,62
1:22:00 PM,T_TURFIO_0,60
1:22:00 PM,T_RPU_TURF,52.8
1:22:00 PM,T_APU_TURF,54.2
1:22:13 PM,T_TURFIO_0,59.8
1:22:13 PM,T_RPU_TURF,53.5
1:22:13 PM,T_APU_TURF,54
1:22:14 PM,T_TURFIO_3,48.1
1:22:14 PM,T_TURFIO_2,50.1
1:22:14 PM,T_TURFIO_1,61.9
1:22:27 PM,T_TURFIO_3,48.6
1:22:27 PM,T_TURFIO_2,50.4
1:22:27 PM,T_TURFIO_1,61.4
1:22:27 PM,T_TURFIO_0,60.5
1:22:27 PM,T_RPU_TURF,54.5
1:22:27 PM,T_APU_TURF,54.3
1:22:40 PM,T_TURFIO_3,48.5
1:22:40 PM,T_TURFIO_2,50.2
1:22:40 PM,T_TURFIO_1,61.6
1:22:40 PM,T_TURFIO_0,61.2
1:22:40 PM,T_RPU_TURF,53.5
1:22:40 PM,T_APU_TURF,53.5
1:22:54 PM,T_TURFIO_3,48
1:22:54 PM,T_TURFIO_2,50.6
1:22:54 PM,T_TURFIO_1,61.9
1:22:54 PM,T_TURFIO_0,60.8
1:22:54 PM,T_RPU_TURF,55
1:22:54 PM,T_APU_TURF,53.5
1:23:07 PM,T_TURFIO_3,48.5
1:23:07 PM,T_TURFIO_2,50.6
1:23:07 PM,T_TURFIO_1,62
1:23:07 PM,T_TURFIO_0,59.9
1:23:07 PM,T_RPU_TURF,52.2
1:23:07 PM,T_APU_TURF,53.6
1:23:20 PM,T_TURFIO_3,48.8
1:23:20 PM,T_TURFIO_2,50.6
1:23:20 PM,T_TURFIO_1,62.5
